P 300, 2000, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 300.0000, 2200.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 300.0000, 2400.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P 300.0000, 2600.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L -312, -1337, -686, -316, -1379, -686, 64, 64, 64
L -465, -1614, -686, -432, -1581, -686, 0, 0, 0
L -465, -1614, -686, -485, -1639, -686, 0, 0, 0
L -485, -1639, -686, -513, -1668, -686, 150, 150, 150
L -557, -1655, -686, -593, -1634, -686, 0, 0, 0
L -557, -1655, -686, -513, -1668, -686, 0, 0, 0
L -1086, -379, 6, -1094, -365, 6, 150, 150, 150
L -1094, -365, 6, -1110, -365, 6, 150, 150, 150
L -1110, -365, 6, -1118, -378, 6, 150, 150, 150
L -1118, -378, 6, -1110, -393, 6, 150, 150, 150
L -1110, -393, 6, -1094, -393, 6, 150, 150, 150
L -1094, -393, 6, -1086, -379, 6, 150, 150, 150
L -1104, -372, 9, -1096, -372, 9, 150, 150, 150
L -1096, -372, 9, -1092, -379, 9, 150, 150, 150
L -1092, -379, 9, -1096, -386, 9, 150, 150, 150
L -1096, -386, 9, -1104, -386, 9, 150, 150, 150
L -1104, -386, 9, -1109, -379, 9, 150, 150, 150
L -1109, -379, 9, -1104, -372, 9, 150, 150, 150
L -1014, -387, -5, -1037, -387, -1, 150, 150, 150
L -1014, -367, -6, -1037, -367, -4, 150, 150, 150
L -1197, -434, -6, -1203, -465, -12, 150, 150, 150
L -1203, -465, -12, -1179, -487, -12, 150, 150, 150
L -1179, -487, -12, -1148, -478, -7, 150, 150, 150
L -1148, -478, -7, -1142, -446, -1, 150, 150, 150
L -1142, -446, -1, -1166, -423, 0, 150, 150, 150
L -1197, -434, -7, -1166, -423, 0, 150, 150, 150
L -1169, -438, -2, -1187, -444, -5, 150, 150, 150
L -1187, -444, -5, -1190, -461, -9, 150, 150, 150
L -1190, -461, -9, -1177, -473, -9, 150, 150, 150
