P 0, 600, 0, 0, 0, 0, 2, Original_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 800, 0, 0, 0, 0, 2, www.eqmaps.info
P 0, 1000, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -437.0, -108.0, -3476.0, -437.0, -107.0, -3476.0, 0, 255, 255
L 972.0, -578.0, -80.0, 979.0, -578.0, -80.0, 0, 0, 0
L 979.0, -578.0, -80.0, 979.0, -572.0, -81.0, 0, 0, 0
L 979.0, -572.0, -81.0, 972.0, -571.0, -81.0, 0, 0, 0
L 972.0, -571.0, -81.0, 968.0, -567.0, -81.0, 0, 0, 0
L 979.0, -450.0, -81.0, 979.0, -446.0, -83.0, 0, 0, 0
L 979.0, -446.0, -83.0, 952.0, -419.0, -83.0, 0, 0, 0
L 952.0, -419.0, -83.0, 952.0, -392.0, -83.0, 0, 0, 0
L 952.0, -392.0, -83.0, 976.0, -369.0, -83.0, 0, 0, 0
L 1011.0, -369.0, -83.0, 1034.0, -392.0, -83.0, 0, 0, 0
L 1034.0, -392.0, -83.0, 1034.0, -419.0, -83.0, 0, 0, 0
L 1034.0, -419.0, -83.0, 1008.0, -446.0, -83.0, 0, 0, 0
L 1008.0, -446.0, -83.0, 1008.0, -450.0, -81.0, 0, 0, 0
L 1020.0, -563.0, -81.0, 1018.0, -567.0, -81.0, 0, 0, 0
L 1018.0, -567.0, -81.0, 1015.0, -571.0, -81.0, 0, 0, 0
L 1015.0, -571.0, -81.0, 1011.0, -572.0, -81.0, 0, 0, 0
L 1011.0, -572.0, -81.0, 1007.0, -572.0, -81.0, 0, 0, 0
L 1007.0, -572.0, -81.0, 1007.0, -578.0, -80.0, 0, 0, 0
L 1007.0, -578.0, -80.0, 1013.0, -578.0, -80.0, 0, 0, 0
L 946.0, -627.0, -97.0, 946.0, -631.0, -97.0, 0, 0, 255
L 942.0, -645.0, -97.0, 937.0, -640.0, -97.0, 0, 0, 255
L 937.0, -640.0, -97.0, 937.0, -631.0, -97.0, 0, 0, 255
L 976.0, -369.0, -83.0, 983.0, -365.0, -97.0, 0, 0, 0
L 1003.0, -365.0, -97.0, 1011.0, -369.0, -83.0, 0, 0, 0
L 987.0, -365.0, -97.0, 987.0, -333.0, -97.0, 0, 0, 0
L 987.0, -333.0, -97.0, 936.0, -335.0, -97.0, 0, 0, 0
L 936.0, -335.0, -97.0, 936.0, -340.0, -98.0, 0, 0, 0
L 936.0, -340.0, -98.0, 936.0, -349.0, -100.0, 0, 0, 0
L 936.0, -349.0, -100.0, 922.0, -362.0, -100.0, 0, 0, 0
L 922.0, -362.0, -100.0, 883.0, -335.0, -100.0, 0, 0, 0
L 883.0, -335.0, -100.0, 867.0, -334.0, -108.0, 0, 0, 0
L 867.0, -334.0, -108.0, 852.0, -348.0, -108.0, 0, 0, 0
L 852.0, -348.0, -108.0, 852.0, -363.0, -111.0, 0, 0, 0
L 852.0, -363.0, -111.0, 866.0, -378.0, -111.0, 0, 0, 0
L 866.0, -378.0, -111.0, 866.0, -405.0, -111.0, 0, 0, 0
L 866.0, -405.0, -111.0, 853.0, -418.0, -111.0, 0, 0, 0
L 853.0, -418.0, -111.0, 839.0, -418.0, -111.0, 0, 0, 0
L 839.0, -418.0, -111.0, 797.0, -432.0, -110.0, 0, 0, 0
L 797.0, -432.0, -110.0, 769.0, -432.0, -108.0, 0, 0, 0
L 769.0, -432.0, -108.0, 761.0, -461.0, -108.0, 0, 0, 0
L 761.0, -461.0, -108.0, 754.0, -474.0, -108.0, 0, 0, 0
L 754.0, -474.0, -108.0, 728.0, -474.0, -108.0, 0, 0, 0
L 998.0, -363.0, -97.0, 997.0, -335.0, -97.0, 0, 0, 0
L 936.0, -322.0, -97.0, 936.0, -308.0, -100.0, 0, 0, 0
L 936.0, -308.0, -100.0, 909.0, -295.0, -100.0, 0, 0, 0
L 909.0, -295.0, -100.0, 896.0, -295.0, -100.0, 0, 0, 0
L 896.0, -295.0, -100.0, 869.0, -310.0, -106.0, 0, 0, 0
L 869.0, -310.0, -106.0, 854.0, -309.0, -108.0, 0, 0, 0
L 854.0, -309.0, -108.0, 830.0, -321.0, -108.0, 0, 0, 0
L 830.0, -321.0, -108.0, 827.0, -363.0, -111.0, 0, 0, 0
L 827.0, -363.0, -111.0, 841.0, -377.0, -111.0, 0, 0, 0
