P 0, 2100, 0, 0, 0, 0, 2, Original_Map:_Goodurden_of_the_Realm_of_Insanity
P 0, 2300, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 2500, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 2700, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1869.0, 1802.0, 4.0, 1869.0, 317.0, 3.0, 0, 0, 0
L 1869.0, -1750.0, 3.0, -1996.0, -1751.0, 17.0, 0, 0, 0
L -1996.0, -1751.0, 17.0, -1996.0, 942.0, 68.0, 0, 0, 0
L -1989.0, 1809.0, 23.0, 1869.0, 1802.0, -11.0, 0, 0, 0
L 896.0, 1129.0, -38.0, 907.0, 1131.0, -38.0, 0, 0, 255
L 907.0, 1131.0, -38.0, 932.0, 1151.0, -38.0, 0, 0, 255
L 932.0, 1151.0, -38.0, 962.0, 1197.0, -38.0, 0, 0, 255
L 962.0, 1197.0, -38.0, 968.0, 1207.0, -39.0, 0, 0, 255
L 968.0, 1207.0, -39.0, 969.0, 1260.0, -38.0, 0, 0, 255
L 969.0, 1260.0, -38.0, 951.0, 1336.0, -39.0, 0, 0, 255
L 951.0, 1336.0, -39.0, 917.0, 1379.0, -38.0, 0, 0, 255
L 917.0, 1379.0, -38.0, 865.0, 1419.0, -38.0, 0, 0, 255
L 865.0, 1419.0, -38.0, 853.0, 1422.0, -38.0, 0, 0, 255
L 853.0, 1422.0, -38.0, 758.0, 1463.0, -39.0, 0, 0, 255
L 758.0, 1463.0, -39.0, 683.0, 1443.0, -38.0, 0, 0, 255
L 683.0, 1443.0, -38.0, 672.0, 1443.0, -39.0, 0, 0, 255
L 672.0, 1443.0, -39.0, 651.0, 1442.0, -38.0, 0, 0, 255
L 651.0, 1442.0, -38.0, 644.0, 1440.0, -38.0, 0, 0, 255
L 644.0, 1440.0, -38.0, 576.0, 1445.0, -38.0, 0, 0, 255
L 576.0, 1445.0, -38.0, 538.0, 1443.0, -38.0, 0, 0, 255
L 538.0, 1443.0, -38.0, 489.0, 1453.0, -38.0, 0, 0, 255
L 489.0, 1453.0, -38.0, 470.0, 1450.0, -38.0, 0, 0, 255
L 470.0, 1450.0, -38.0, 438.0, 1454.0, -38.0, 0, 0, 255
L 438.0, 1454.0, -38.0, 423.0, 1458.0, -39.0, 0, 0, 255
