P -200, -100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, -300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, -500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 30, -540, 16, 30, -527, 16, 127, 127, 127
L 33, -527, 17, 33, -540, 17, 127, 127, 127
L 36, -540, 18, 36, -527, 18, 127, 127, 127
L 39, -527, 19, 39, -540, 19, 127, 127, 127
L 42, -540, 20, 42, -527, 20, 127, 127, 127
L 45, -527, 21, 45, -540, 21, 127, 127, 127
L 48, -540, 22, 48, -527, 22, 127, 127, 127
L 51, -527, 23, 51, -540, 23, 127, 127, 127
L 54, -540, 24, 54, -527, 24, 127, 127, 127
L 57, -527, 25, 57, -540, 25, 127, 127, 127
L 60, -540, 26, 60, -527, 26, 127, 127, 127
L 66, -527, 28, 66, -529, 28, 0, 255, 255
L 63, -540, 27, 63, -527, 27, 127, 127, 127
L -44, -540, 16, -44, -527, 16, 127, 127, 127
L -47, -527, 17, -47, -540, 17, 127, 127, 127
L -50, -540, 18, -50, -527, 18, 127, 127, 127
L -53, -527, 19, -53, -540, 19, 127, 127, 127
L -56, -540, 20, -56, -527, 20, 127, 127, 127
L -59, -527, 21, -59, -540, 21, 127, 127, 127
L -62, -540, 22, -62, -527, 22, 127, 127, 127
L -65, -527, 23, -65, -540, 23, 127, 127, 127
L -68, -540, 24, -68, -527, 24, 127, 127, 127
L -71, -540, 25, -71, -527, 25, 127, 127, 127
L -74, -527, 26, -74, -540, 26, 127, 127, 127
L -77, -540, 27, -77, -527, 27, 127, 127, 127
L -80, -527, 28, -80, -529, 28, 0, 255, 255
L -83, -337, 14, -80, -337, 14, 0, 255, 0
L -61, -250, 0, -50, -250, 0, 199, 21, 133
L 64, -456, 0, 64, -463, 0, 0, 0, 0
L 50, -456, 0, 64, -456, 0, 0, 0, 0
L 50, -441, 0, 50, -456, 0, 0, 0, 0
L 64, -441, 0, 50, -441, 0, 0, 0, 0
L 64, -426, 0, 64, -441, 0, 0, 0, 0
L 50, -426, 0, 64, -426, 0, 0, 0, 0
L 50, -412, 0, 50, -426, 0, 0, 0, 0
L 15, -412, 0, 50, -412, 0, 0, 0, 0
L 0, -411, 0, 0, -426, 0, 0, 0, 0
L 6, -411, 0, 0, -411, 0, 0, 0, 0
L 6, -397, 0, 6, -411, 0, 0, 0, 0
L 9, -397, 0, 6, -397, 0, 0, 0, 0
L 9, -390, 0, 9, -397, 0, 0, 0, 0
L 30, -392, 0, 12, -392, 0, 0, 0, 0
L 30, -376, 0, 30, -392, 0, 0, 0, 0
L 35, -373, 0, 28, -373, 0, 0, 0, 0
L 35, -361, 0, 35, -373, 0, 0, 0, 0
L 40, -400, 14, 40, -398, 14, 0, 255, 0
L 22, -400, 14, 40, -400, 14, 0, 255, 0
L 22, -363, 28, 22, -366, 28, 0, 255, 255
L 66, -363, 28, 22, -363, 28, 0, 255, 255
L 59, -400, 28, 69, -400, 28, 0, 255, 255
L 59, -413, 28, 59, -400, 28, 0, 255, 255
L 59, -443, 28, 59, -400, 28, 0, 255, 255
L 63, -447, 28, 59, -443, 28, 0, 255, 255
L 71, -447, 28, 63, -447, 28, 0, 255, 255
L 69, -467, 28, 69, -450, 28, 0, 255, 255
L 64, -470, 28, 71, -470, 28, 0, 255, 255
L 64, -493, 28, 64, -470, 28, 0, 255, 255
L 71, -493, 28, 64, -493, 28, 0, 255, 255
L 66, -529, 28, 69, -529, 28, 0, 255, 255
L 10, -522, 16, 10, -529, 16, 0, 0, 0
L 0, -522, 16, 10, -522, 16, 0, 0, 0
