P 100, 1600, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1800, 0, 0, 0, 0, 2, www.eqmaps.info
P 100, 2000, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -344, -741, 203, -344, -788, 203, 0, 153, 153
L -344, -865, 203, -464, -865, 203, 0, 153, 153
L -1387, 822, 0, -1387, 75, 0, 0, 0, 0
L -1387, -1396, 0, 1426, -1396, 0, 0, 0, 0
L 1426, -1396, 0, 1426, 1393, 0, 0, 0, 0
L 1426, 1393, 0, -1387, 1393, 0, 0, 0, 0
L -1387, 75, 0, -1387, -1396, 0, 0, 0, 0
L -1387, 1393, 0, -1387, 75, 0, 0, 0, 0
L -1338, 86, 0, -1312, 153, 0, 0, 0, 0
L -1312, 153, 0, -1226, 119, 0, 0, 0, 0
L -1226, 119, 0, -1241, 79, 0, 0, 0, 0
L -1241, 79, 0, -1246, 80, 0, 0, 0, 0
L -1246, 80, 0, -1232, 117, 0, 0, 0, 0
L -1232, 117, 0, -1309, 147, 0, 0, 0, 0
L -1309, 147, 0, -1332, 89, 0, 0, 0, 0
L -1332, 89, 0, -1255, 58, 0, 0, 0, 0
L -1255, 58, 0, -1252, 64, 0, 0, 0, 0
L -1252, 64, 0, -1248, 60, 0, 0, 0, 0
L -1248, 60, 0, -1253, 52, 0, 0, 0, 0
L -1253, 52, 0, -1338, 87, 0, 0, 0, 0
L -1150, 44, 2, -1179, 55, 0, 0, 0, 0
L -1179, 55, 0, -1186, 59, 0, 0, 0, 0
L -1186, 59, 0, -1189, 52, 0, 0, 0, 0
L -1189, 52, 0, -1181, 49, 0, 0, 0, 0
L -1181, 49, 0, -1152, 38, 0, 0, 0, 0
L -1152, 38, 0, -1145, 34, 0, 0, 0, 0
L -1145, 34, 0, -1142, 43, 1, 0, 0, 0
L -1142, 43, 1, -1131, 72, 1, 0, 0, 0
L -1131, 72, 1, -1127, 79, 1, 0, 0, 0
L -1127, 79, 1, -1135, 82, 1, 0, 0, 0
L -1135, 82, 1, -1165, 93, 0, 0, 0, 0
