P -1100, 1400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -1100, 1600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -1100, 1800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 717.0, 356.0, -59.0, 686.0, 356.0, -59.0, 0, 0, 0
L 686.0, 356.0, -59.0, 684.0, 260.0, -59.0, 0, 0, 0
L 684.0, 260.0, -59.0, 626.0, 260.0, -59.0, 0, 0, 0
L 626.0, 260.0, -59.0, 622.0, 268.0, -57.0, 0, 0, 0
L 622.0, 268.0, -57.0, 596.0, 254.0, -56.0, 0, 0, 0
L 596.0, 254.0, -56.0, 557.0, 246.0, -57.0, 0, 0, 0
L 557.0, 246.0, -57.0, 520.0, 255.0, -58.0, 0, 0, 0
L 520.0, 255.0, -58.0, 467.0, 273.0, -57.0, 0, 0, 0
L 467.0, 273.0, -57.0, 430.0, 287.0, -55.0, 0, 0, 0
L 430.0, 287.0, -55.0, 391.0, 301.0, -56.0, 0, 0, 0
L 391.0, 301.0, -56.0, 367.0, 315.0, -55.0, 0, 0, 0
L 367.0, 315.0, -55.0, 355.0, 293.0, -55.0, 0, 0, 0
L 355.0, 293.0, -55.0, 342.0, 270.0, -58.0, 0, 0, 0
L 342.0, 270.0, -58.0, 326.0, 240.0, -54.0, 0, 0, 0
L 326.0, 240.0, -54.0, 319.0, 209.0, -56.0, 0, 0, 0
L 319.0, 209.0, -56.0, 310.0, 178.0, -58.0, 0, 0, 0
L 310.0, 178.0, -58.0, 302.0, 143.0, -59.0, 0, 0, 0
L 302.0, 143.0, -59.0, 285.0, 115.0, -59.0, 0, 0, 0
L 285.0, 115.0, -59.0, 290.0, 104.0, -59.0, 0, 0, 0
L 290.0, 104.0, -59.0, 293.0, 67.0, -52.0, 0, 0, 0
L 293.0, 67.0, -52.0, 283.0, 52.0, -52.0, 0, 0, 0
L 283.0, 52.0, -52.0, 246.0, 12.0, -55.0, 0, 0, 0
L 246.0, 12.0, -55.0, 221.0, -2.0, -54.0, 0, 0, 0
L 221.0, -2.0, -54.0, 187.0, -5.0, -59.0, 0, 0, 0
L 187.0, -5.0, -59.0, 148.0, 6.0, -58.0, 0, 0, 0
L 148.0, 6.0, -58.0, 134.0, 10.0, -57.0, 0, 0, 0
L 134.0, 10.0, -57.0, 102.0, 21.0, -55.0, 0, 0, 0
L 102.0, 21.0, -55.0, 67.0, 34.0, -55.0, 0, 0, 0
L 67.0, 34.0, -55.0, 48.0, 43.0, -51.0, 0, 0, 0
L -1.0, 94.0, -55.0, -22.0, 132.0, -58.0, 0, 0, 0
L -22.0, 132.0, -58.0, -38.0, 179.0, -53.0, 0, 0, 0
L -38.0, 179.0, -53.0, -38.0, 191.0, -49.0, 0, 0, 0
L -38.0, 191.0, -49.0, -16.0, 233.0, -51.0, 0, 0, 0
L -16.0, 233.0, -51.0, 11.0, 257.0, -54.0, 0, 0, 0
L 11.0, 257.0, -54.0, 33.0, 271.0, -53.0, 0, 0, 0
L 33.0, 271.0, -53.0, 55.0, 279.0, -51.0, 0, 0, 0
L 55.0, 279.0, -51.0, 79.0, 277.0, -51.0, 0, 0, 0
L 79.0, 277.0, -51.0, 80.0, 254.0, -59.0, 0, 0, 0
L 80.0, 254.0, -59.0, 72.0, 234.0, -59.0, 0, 0, 0
L 72.0, 234.0, -59.0, 51.0, 226.0, -54.0, 0, 0, 0
L 51.0, 226.0, -54.0, 23.0, 218.0, -49.0, 0, 0, 0
L 23.0, 218.0, -49.0, 20.0, 197.0, -48.0, 0, 0, 0
L 20.0, 197.0, -48.0, 15.0, 177.0, -49.0, 0, 0, 0
L 15.0, 177.0, -49.0, 12.0, 150.0, -52.0, 0, 0, 0
L 12.0, 150.0, -52.0, 35.0, 108.0, -54.0, 0, 0, 0
L 35.0, 108.0, -54.0, 50.0, 84.0, -54.0, 0, 0, 0
L 50.0, 84.0, -54.0, 79.0, 76.0, -56.0, 0, 0, 0
L 79.0, 76.0, -56.0, 92.0, 71.0, -55.0, 0, 0, 0
L 92.0, 71.0, -55.0, 134.0, 57.0, -52.0, 0, 0, 0
L 134.0, 57.0, -52.0, 152.0, 49.0, -53.0, 0, 0, 0
L 152.0, 49.0, -53.0, 175.0, 41.0, -47.0, 0, 0, 0
L 175.0, 41.0, -47.0, 201.0, 41.0, -53.0, 0, 0, 0
L 201.0, 41.0, -53.0, 224.0, 52.0, -49.0, 0, 0, 0
L 224.0, 52.0, -49.0, 241.0, 50.0, -55.0, 0, 0, 0
L 241.0, 50.0, -55.0, 244.0, 63.0, -57.0, 0, 0, 0
L 244.0, 63.0, -57.0, 242.0, 73.0, -55.0, 0, 0, 0
L 242.0, 73.0, -55.0, 244.0, 85.0, -52.0, 0, 0, 0
L 244.0, 85.0, -52.0, 249.0, 101.0, -56.0, 0, 0, 0
L 249.0, 101.0, -56.0, 257.0, 140.0, -54.0, 0, 0, 0
L 257.0, 140.0, -54.0, 265.0, 164.0, -57.0, 0, 0, 0
L 265.0, 164.0, -57.0, 274.0, 204.0, -58.0, 0, 0, 0
L 274.0, 204.0, -58.0, 288.0, 240.0, -55.0, 0, 0, 0
L 288.0, 240.0, -55.0, 299.0, 270.0, -59.0, 0, 0, 0
L 299.0, 270.0, -59.0, 317.0, 307.0, -55.0, 0, 0, 0
