P -100, 200, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -100, 400, 0, 0, 0, 0, 2, www.eqmaps.info
P -100, 600, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -253, -1129, 118, -265, -1155, 118, 255, 0, 0
L -265, -1155, 118, -268, -1171, 118, 255, 0, 0
L -268, -1171, 118, -278, -1173, 118, 255, 0, 0
L -278, -1173, 118, -278, -1162, 118, 255, 0, 0
L -278, -1162, 118, -271, -1149, 118, 255, 0, 0
L -271, -1149, 118, -252, -1099, 118, 255, 0, 0
L -208, -771, 178, -224, -772, 178, 0, 0, 0
L -110, -1173, 178, -110, -1132, 178, 0, 0, 0
L -169, -921, 178, -167, -954, 190, 0, 0, 0
L -128, -954, 190, -128, -1018, 190, 0, 0, 0
L -171, -912, 178, -173, -912, 178, 0, 0, 0
L -180, -912, 178, -180, -942, 178, 0, 0, 0
L -180, -942, 178, -183, -954, 190, 0, 0, 0
L -164, -1173, 193, -170, -1147, 193, 0, 0, 0
L -186, -1173, 193, -164, -1173, 193, 0, 0, 0
L -186, -1173, 193, -180, -1147, 193, 0, 0, 0
L -197, -824, 178, -198, -865, 178, 0, 0, 0
L -198, -865, 178, -208, -865, 178, 0, 0, 0
L -208, -865, 178, -208, -814, 178, 0, 0, 0
L -208, -814, 178, -194, -813, 178, 0, 0, 0
L -306, -1023, 1788, -306, -1023, 1787, 0, 0, 0
L 9, -1173, 186, 30, -1173, 186, 0, 0, 0
L 30, -1173, 186, 25, -1145, 186, 0, 0, 0
L 25, -1145, 186, 25, -1104, 187, 0, 0, 0
L 25, -1104, 187, 39, -1077, 186, 0, 0, 0
L 39, -1077, 186, 39, -967, 187, 0, 0, 0
L 39, -967, 187, 25, -938, 187, 0, 0, 0
L 25, -938, 187, 26, -920, 187, 0, 0, 0
L 26, -920, 187, 33, -899, 187, 0, 0, 0
L 33, -899, 187, 25, -854, 187, 0, 0, 0
L 25, -854, 187, 39, -798, 186, 0, 0, 0
L 39, -798, 186, 39, -748, 186, 0, 0, 0
L -81, -744, 187, -125, -771, 187, 0, 0, 0
L -125, -771, 187, -142, -772, 178, 0, 0, 0
L -136, -781, 187, -116, -781, 187, 0, 0, 0
