P -800, 400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -800, 600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -800, 800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -1739.0, -786.0, 0.0, -1625.0, -559.0, 0.0, 0, 0, 255
L -1917.0, -851.0, 0.0, -1739.0, -786.0, 0.0, 0, 0, 255
L -2253.0, -845.0, 0.0, -1917.0, -851.0, 0.0, 0, 0, 255
L -2413.0, -731.0, 0.0, -2253.0, -845.0, 0.0, 0, 0, 255
L -2499.0, -568.0, 0.0, -2413.0, -731.0, 0.0, 0, 0, 255
L -2496.0, -312.0, 0.0, -2499.0, -568.0, 0.0, 0, 0, 255
L -2450.0, -177.0, 0.0, -2496.0, -312.0, 0.0, 0, 0, 255
L -2370.0, -69.0, 0.0, -2450.0, -177.0, 0.0, 0, 0, 255
L -2213.0, 14.0, 0.0, -2370.0, -69.0, 0.0, 0, 0, 255
L -1803.0, 1.0, 0.0, -2213.0, 14.0, 0.0, 0, 0, 255
L -1680.0, -106.0, 0.0, -1803.0, 1.0, 0.0, 0, 0, 255
L -1380.0, -442.0, 0.0, -1340.0, -424.0, 0.0, 0, 0, 0
L -1415.0, -456.0, 0.0, -1380.0, -442.0, 0.0, 0, 0, 0
L -1462.0, -462.0, 0.0, -1415.0, -456.0, 0.0, 0, 0, 0
L -1488.0, -552.0, 0.0, -1462.0, -462.0, 0.0, 0, 0, 0
L -1569.0, -740.0, 0.0, -1488.0, -552.0, 0.0, 0, 0, 0
L -1656.0, -868.0, 0.0, -1569.0, -740.0, 0.0, 0, 0, 0
L -1866.0, -982.0, 0.0, -1656.0, -868.0, 0.0, 0, 0, 0
L -2240.0, -980.0, 0.0, -1866.0, -982.0, 0.0, 0, 0, 0
L -2512.0, -832.0, 0.0, -2240.0, -980.0, 0.0, 0, 0, 0
L -2634.0, -535.0, 0.0, -2512.0, -832.0, 0.0, 0, 0, 0
L -2634.0, -332.0, 0.0, -2634.0, -535.0, 0.0, 0, 0, 0
L -2582.0, -162.0, 0.0, -2634.0, -332.0, 0.0, 0, 0, 0
L -2456.0, 42.0, 0.0, -2582.0, -162.0, 0.0, 0, 0, 0
L -2236.0, 144.0, 0.0, -2456.0, 42.0, 0.0, 0, 0, 0
L -1846.0, 140.0, 0.0, -2236.0, 144.0, 0.0, 0, 0, 0
L -1591.0, -12.0, 0.0, -1846.0, 140.0, 0.0, 0, 0, 0
L -1519.0, -160.0, 0.0, -1591.0, -12.0, 0.0, 0, 0, 0
L -1483.0, -301.0, 0.0, -1519.0, -160.0, 0.0, 0, 0, 0
L -1467.0, -386.0, 0.0, -1483.0, -301.0, 0.0, 0, 0, 0
L -1392.0, -378.0, 0.0, -1467.0, -386.0, 0.0, 0, 0, 0
L -1351.0, -384.0, 0.0, -1392.0, -378.0, 0.0, 0, 0, 0
L -1341.0, -390.0, 0.0, -1351.0, -384.0, 0.0, 0, 0, 0
L -1298.0, -388.0, 0.0, -1341.0, -390.0, 0.0, 0, 0, 0
L -1300.0, -392.0, 0.0, -1298.0, -388.0, 0.0, 0, 0, 0
L -1298.0, -420.0, 0.0, -1300.0, -392.0, 0.0, 0, 0, 0
L -1216.0, -288.0, 0.0, -987.0, -288.0, 0.0, 0, 0, 0
L -1216.0, -376.0, 0.0, -1216.0, -288.0, 0.0, 0, 0, 0
L -1169.0, -376.0, 0.0, -1216.0, -376.0, 0.0, 0, 0, 0
L -1169.0, -388.0, 0.0, -1169.0, -376.0, 0.0, 0, 0, 0
L -1240.0, -388.0, 0.0, -1169.0, -388.0, 0.0, 0, 0, 0
L -1240.0, -333.0, 0.0, -1240.0, -388.0, 0.0, 0, 0, 0
L -1338.0, -333.0, 0.0, -1240.0, -333.0, 0.0, 0, 0, 0
L -1338.0, -382.0, 0.0, -1338.0, -333.0, 0.0, 0, 0, 0
L -1297.0, -382.0, 0.0, -1338.0, -382.0, 0.0, 0, 0, 0
L -1297.0, -424.0, 0.0, -1297.0, -382.0, 0.0, 0, 0, 0
L -1340.0, -424.0, 0.0, -1297.0, -424.0, 0.0, 0, 0, 0
L -1340.0, -485.0, 0.0, -1340.0, -424.0, 0.0, 0, 0, 0
L -1236.0, -485.0, 0.0, -1340.0, -485.0, 0.0, 0, 0, 0
L -1236.0, -414.0, 0.0, -1236.0, -485.0, 0.0, 0, 0, 0
L -1165.0, -414.0, 0.0, -1236.0, -414.0, 0.0, 0, 0, 0
L -1165.0, -424.0, 0.0, -1165.0, -414.0, 0.0, 0, 0, 0
L -1214.0, -424.0, 0.0, -1165.0, -424.0, 0.0, 0, 0, 0
L -1214.0, -542.0, 0.0, -1214.0, -424.0, 0.0, 0, 0, 0
L -980.0, -542.0, 0.0, -1214.0, -542.0, 0.0, 0, 0, 0
L -986.0, -380.0, 0.0, -986.0, -284.0, 0.0, 0, 0, 0
L -932.0, -380.0, 0.0, -986.0, -380.0, 0.0, 0, 0, 0
L -932.0, -287.0, 0.0, -932.0, -380.0, 0.0, 0, 0, 0
