P -200, 500, -163, 0, 0, 0, 2, Original_Map:_Goodurden
P -200, 700, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, 900, 0, 0, 0, 0, 2, www.eqmaps.info
P -200, 1100, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 749.4, 220.5, 2.0, 743.8, 214.9, 1.5, 0, 0, 0
L 743.8, 214.9, 1.9, 764.0, 194.6, 6.9, 0, 0, 0
L 764.0, 194.6, 6.9, 764.0, 161.0, 2.0, 0, 0, 0
L 764.0, 161.0, 2.0, 759.1, 125.3, 4.2, 0, 0, 0
L 759.1, 125.3, 4.2, 749.2, 115.4, 0.1, 0, 0, 0
L 749.2, 115.4, 0.1, 739.2, 90.4, 0.1, 0, 0, 0
L 739.2, 90.4, 0.1, 714.6, 80.6, 0.1, 0, 0, 0
L 714.6, 80.6, 0.1, 689.5, 80.6, 0.1, 0, 0, 0
L 689.5, 80.6, 0.1, 679.2, 70.3, 0.1, 0, 0, 0
L 679.2, 70.3, 0.1, 669.1, 50.1, 0.1, 0, 0, 0
L 669.1, 50.1, 0.1, 669.1, 14.4, 0.1, 0, 0, 0
L 655.4, 14.2, 0.1, 655.4, 69.8, 0.1, 0, 0, 0
L 655.4, 69.8, 0.1, 665.2, 89.4, 0.1, 0, 0, 0
L 665.2, 89.4, 0.1, 689.9, 99.3, 0.1, 0, 0, 0
L 689.9, 99.3, 0.1, 715.0, 99.3, 0.1, 0, 0, 0
L 715.0, 99.3, 0.1, 730.6, 115.0, 0.1, 0, 0, 0
L 730.6, 115.0, 0.4, 720.4, 125.2, 3.8, 0, 0, 0
L 720.4, 125.2, 3.8, 715.4, 164.9, 4.3, 0, 0, 0
L 715.4, 164.9, 4.3, 700.4, 185.5, 5.0, 0, 0, 0
L 700.4, 185.5, 5.0, 700.4, 194.8, 5.0, 0, 0, 0
L 700.4, 194.8, 5.0, 710.3, 214.7, 2.1, 0, 0, 0
L 710.3, 214.7, 2.1, 710.4, 234.6, 3.6, 0, 0, 0
L 710.4, 234.6, 3.6, 734.8, 254.1, 8.5, 0, 0, 0
L 734.8, 254.1, 8.5, 769.9, 244.2, 0.1, 0, 0, 0
L 749.4, 220.5, 1.9, 789.2, 230.5, 0.1, 0, 0, 0
L 789.2, 230.5, 0.1, 798.8, 254.3, 0.1, 0, 0, 0
L 780.0, 254.3, 0.1, 769.9, 244.2, 0.1, 0, 0, 0
L 798.8, 254.3, 0.1, 780.0, 254.3, 0.1, 199, 21, 133
L 669.1, 14.4, 0.9, 719.2, 14.3, 0.1, 0, 0, 0
L 719.2, 14.3, 0.1, 729.1, -30.1, 1.8, 0, 0, 0
L 729.1, -30.1, 1.8, 724.1, -74.3, 0.1, 0, 0, 0
L 724.1, -74.3, 0.1, 669.1, -74.3, 0.2, 0, 0, 0
L 655.4, 14.2, 0.1, 629.8, 19.3, 0.1, 0, 0, 0
L 629.8, 19.3, 0.1, 610.0, 14.3, 0.1, 0, 0, 0
L 610.0, 14.3, 0.1, 595.4, -5.2, 0.1, 0, 0, 0
L 595.4, -5.2, 0.1, 595.4, -30.0, 0.1, 0, 0, 0
L 595.4, -30.0, 0.1, 600.4, -59.7, 0.1, 0, 0, 0
L 600.4, -59.7, 0.1, 610.1, -74.3, 1.0, 0, 0, 0
L 610.1, -74.3, 1.0, 655.4, -74.3, 0.1, 0, 0, 0
L 655.4, -30.8, -1.2, 655.4, -74.3, -9.9, 150, 150, 150
L 669.1, -74.3, -9.9, 669.1, -30.6, -1.2, 150, 150, 150
L 736.2, -115.6, -9.9, 755.1, -115.6, 0.1, 0, 0, 0
L 755.1, -115.6, 0.1, 769.0, -115.6, 0.1, 0, 0, 0
L 769.0, -115.6, 0.1, 769.0, -129.4, 0.1, 0, 0, 0
L 769.0, -129.4, 0.1, 769.0, -150.6, 10.1, 0, 0, 0
L 669.1, -115.6, -9.9, 736.1, -115.6, -9.9, 0, 0, 0
L 736.1, -115.6, -9.9, 736.2, -129.3, -9.9, 150, 150, 150
L 736.2, -129.3, -9.9, 595.3, -129.3, -9.9, 0, 0, 0
L 595.3, -129.3, -9.9, 595.3, -115.6, -9.9, 150, 150, 150
L 595.3, -115.6, -9.9, 655.4, -115.6, -9.9, 0, 0, 0
L 669.1, -74.3, -9.9, 669.1, -81.6, -9.9, 0, 0, 0
L 655.4, -74.3, -9.9, 655.4, -81.6, -9.9, 0, 0, 0
L 595.3, -115.6, -9.9, 576.9, -115.6, 0.1, 0, 0, 0
L 576.9, -115.6, 0.1, 560.4, -115.6, 0.1, 0, 0, 0
L 560.4, -115.6, 0.1, 560.4, -129.3, 0.1, 0, 0, 0
L 560.4, -129.3, 0.1, 560.4, -148.3, 10.1, 0, 0, 0
L 560.4, -148.3, 10.1, 560.4, -165.6, 10.1, 0, 0, 0
L 560.4, -165.6, 10.1, 539.1, -165.6, 10.1, 0, 0, 0
L 539.1, -165.6, 10.1, 539.1, -115.6, 10.1, 0, 0, 0
L 539.1, -115.6, 10.1, 370.0, -115.7, 10.1, 0, 0, 0
L 370.0, -115.7, 10.1, 225.6, -260.2, 10.1, 0, 0, 0
L 225.6, -260.2, 10.1, 225.6, -329.2, 10.1, 0, 0, 0
L 239.3, -309.2, 10.1, 239.3, -329.2, 10.1, 0, 0, 0
L 239.3, -309.2, 10.1, 245.5, -309.2, 10.1, 0, 0, 0
L 245.5, -309.2, 10.1, 245.6, -319.6, 10.1, 0, 0, 0
L 245.6, -319.6, 10.1, 255.2, -329.2, 10.1, 0, 0, 0
L 255.2, -329.2, 10.1, 284.6, -329.2, 10.1, 0, 0, 0
L 284.6, -329.2, 10.1, 294.2, -319.5, 10.1, 0, 0, 0
L 294.2, -319.5, 10.1, 294.2, -285.3, 10.1, 0, 0, 0
L 294.2, -285.3, 10.1, 284.7, -275.6, 10.1, 0, 0, 0
L 284.7, -275.6, 10.1, 255.2, -275.5, 10.1, 0, 0, 0
L 255.2, -275.5, 10.1, 245.6, -285.1, 10.1, 0, 0, 0
L 245.6, -285.1, 10.1, 245.5, -295.5, 10.1, 0, 0, 0
L 245.5, -295.5, 10.1, 239.3, -295.5, 10.1, 0, 0, 0
L 239.3, -295.5, 10.1, 239.3, -259.6, 10.1, 0, 0, 0
L 239.3, -259.6, 10.1, 369.6, -129.3, 10.1, 0, 0, 0
