L 95.3385, -74.3296, 14.0020,  94.9215, -81.1140, 14.0020,  240, 127, 0
L 27.4859, -237.3919, 30.0020,  61.0000, -237.3913, 31.0020,  0, 240, 0
L 27.4859, -257.0000, 30.0030,  27.4859, -237.3919, 30.0020,  0, 240, 0
P 244.9089, 449.9847, 0.0020,  0, 127, 0,  2,  Trissa_n'Reth_(Mercenary_Liason,Roam)
P 459.3741, 305.8561, 15.0020,  0, 127, 0,  2,  Kruna_(Weapons)
P 231.7685, 258.4548, 14.0020,  0, 0, 0,  2,  Jacker
P 7.6353, -53.3054, 41.9707,  0, 240, 0,  2,  Nerta_D'Vile_(Tribute)
P 31.5711, 4.6970, 41.9707,  0, 0, 0,  2,  X'Ta_Tempi
P 39.9150, 3.5541, 41.9707,  0, 0, 0,  2,  X'Ta_Timpi
P 49.8817, 19.2487, 41.9707,  0, 0, 0,  2,  X'Ta_Tompi
P 102.7032, 31.5622, 0.0020,  0, 127, 127,  2,  Lisv_D'Unnar_(Task_Master)
P 106.0882, -29.1685, 0.0020,  0, 0, 0,  2,  Psal_G'Noir
P 114.2248, 3.4381, 0.0020,  0, 127, 127,  2,  Dvin_L'Crit_(Task_Master)
P 109.6281, -152.6294, 14.0020,  0, 127, 0,  2,  Wiska_(Brewing)
P 99.3089, -135.1946, -0.9980,  0, 127, 0,  2,  Darien_Felton_(General)
P 87.4979, -150.6496, 0.0020,  0, 127, 0,  2,  Chon_Chon_(Pottery)
P 57.8768, -247.7210, 14.0020,  0, 127, 0,  2,  Gambel_Quick_(Alchemy)
P 226.7349, -202.9299, 28.0020,  0, 127, 0,  2,  Sara_Buelle_(General,Roam)
P 271.9237, -240.0783, 0.0020,  0, 127, 0,  2,  Yala_Thiss_(Gneral,Roam)
P 453.5141, 249.2490, 14.0020,  240, 0, 0,  3,  to_Neriak_Commons
P 485.3255, 352.1283, 14.0020,  240, 240, 0,  2,  Fake_Wall
P 265.4352, 266.4794, 0.0020,  0, 0, 0,  2,  Ghrag
