P 201, 119, 41, 0, 0, 0, 2, Chatterbones
L -170.8, 49.9, 28.4, -170.8, 49.9, 28.3, 0, 0, 255
L 24.7, 237.2, 42.3, 72.0, 240.0, 42.5, 0, 0, 0
L 72.0, 240.0, 42.5, 131.8, 237.8, 42.4, 0, 0, 0
L 268.6, 203.6, 40.1, 235.7, 192.1, 32.3, 204, 0, 204
L 235.7, 192.1, 32.3, 226.3, 188.8, 29.8, 204, 0, 204
L 226.3, 188.8, 29.8, 204.0, 183.5, 27.6, 204, 0, 204
L 204.3, 223.0, 27.6, 226.9, 217.3, 29.6, 204, 0, 204
L 226.9, 217.3, 29.6, 246.7, 210.8, 35.7, 204, 0, 204
L 246.7, 210.8, 35.7, 268.6, 203.6, 39.9, 204, 0, 204
L 169.5, 175.6, 42.4, 131.9, 170.7, 41.8, 0, 0, 0
L 131.9, 170.7, 41.8, 108.6, 170.1, 41.8, 0, 0, 0
L 108.6, 170.1, 41.8, 71.6, 168.6, 41.8, 0, 0, 0
L 71.6, 168.6, 41.8, 56.3, 169.0, 41.8, 0, 0, 0
L 56.3, 169.0, 41.8, 24.7, 170.7, 41.8, 0, 0, 0
L 24.7, 170.7, 41.8, 24.7, 175.4, 41.8, 0, 0, 0
L 24.7, 186.8, 41.8, 24.7, 188.1, 41.8, 0, 0, 0
L 24.7, 188.1, 41.8, 23.5, 188.1, 41.8, 0, 0, 0
L 22.3, 188.1, 41.8, 22.3, 176.8, 41.8, 0, 0, 0
L 22.3, 176.8, 41.8, 17.0, 176.8, 41.8, 0, 0, 0
L 17.0, 176.8, 41.8, -8.7, 179.2, 41.8, 0, 0, 0
L -8.7, 179.2, 41.8, -8.7, 201.3, 41.8, 0, 0, 0
L -8.7, 201.3, 41.8, 3.7, 201.4, 41.8, 0, 0, 0
L 3.7, 204.3, 41.8, -10.7, 204.3, 42.0, 0, 0, 0
L 3.7, 201.4, 41.8, 3.7, 204.3, 41.8, 0, 0, 0
L -10.7, 204.3, 41.9, -10.7, 179.3, 41.8, 0, 0, 0
L -10.7, 179.3, 41.8, -28.3, 179.3, 41.8, 0, 0, 0
L -28.3, 179.3, 41.8, -28.3, 227.9, 41.8, 0, 0, 0
L -28.3, 227.9, 41.8, -14.0, 227.9, 41.8, 0, 0, 0
L -14.0, 227.9, 41.8, 22.3, 230.4, 41.8, 0, 0, 0
L 22.3, 230.4, 41.8, 22.3, 219.2, 41.8, 0, 0, 0
L 22.3, 211.8, 41.8, 22.3, 209.3, 41.8, 0, 0, 0
L 22.3, 209.3, 41.8, 16.7, 209.3, 41.8, 0, 0, 0
L 16.7, 209.3, 41.8, 14.5, 207.1, 41.8, 0, 0, 0
L 14.5, 207.1, 41.8, 14.0, 204.3, 41.8, 0, 0, 0
L 14.0, 204.3, 41.8, 10.3, 204.3, 41.8, 0, 0, 0
L 10.3, 204.3, 41.8, 10.3, 201.4, 41.8, 0, 0, 0
L 10.3, 201.4, 41.8, 14.1, 201.4, 41.8, 0, 0, 0
L 14.1, 201.4, 41.8, 14.5, 200.1, 41.8, 0, 0, 0
L 14.5, 200.1, 41.8, 16.7, 197.9, 41.8, 0, 0, 0
L 16.7, 197.9, 41.8, 22.3, 197.9, 41.8, 0, 0, 0
L 22.3, 197.9, 41.8, 22.3, 195.4, 41.8, 0, 0, 0
L 22.3, 195.4, 41.8, 23.5, 195.4, 41.8, 0, 0, 0
