P -643.4314, -1343.8658, 4.7134, 255, 0, 0, 3, to_Sepulcher_of_Order
P -914.5006, -890.4184, 3.7926, 255, 0, 0, 3, to_Sepulcher_of_Order
P -219.7744, -1819.3409, 36.0490, 255, 0, 0, 3, to_Sepulcher_East
P -788.2769, 256.2145, -10.7550, 255, 0, 0, 3, to_Sepulcher_East
P -899.8718, -532.2415, 5.9336, 255, 0, 0, 3, to_Sepulcher_of_Order
P -753.2254, -103.4521, 3.0426, 255, 0, 0, 3, to_Sepulcher_of_Order
P -745.0000, 206.0000, 3.8515, 255, 0, 0, 2, Succor
P -1093.1807, -887.5736, 3.6484, 240, 240, 240, 2, Sentry_Stone_of_Illdaera
P -879.9209, 22.1701, 3.7060, 240, 240, 240, 2, Sentry_Stone_of_Sholoth
P -1323.6740, -462.2542, 4.3212, 240, 240, 240, 2, Sentry_Stone_of_Oseka
P -644.9221, -1762.2482, 12.6046, 255, 255, 0, 2, to_the_Maze
P -645.0000, -1880.0000, 0.0000, 0, 0, 240, 2, Floor_P_(Top)
P -645.0000, -1910.0000, 0.0000, 255, 255, 0, 2, Leave_Maze
P -645.0000, -1845.0000, 0.0000, 255, 255, 0, 2, Leave_Maze
P -595.0000, -1880.0000, 0.0000, 255, 255, 0, 2, Leave_Maze
P -695.0000, -1880.0000, 0.0000, 255, 255, 0, 2, Leave_Maze
P -644.5000, -2045.0000, -91.0000, 0, 0, 240, 2, Floor_B
P -644.5000, -2010.0000, -91.0000, 0, 0, 0, 2, to_B
P -695.0000, -2045.0000, -91.0000, 0, 0, 0, 2, to_A
P -595.0000, -2045.0000, -91.0000, 150, 0, 150, 2, to_C
P -644.5000, -2080.0000, -91.0000, 0, 0, 0, 2, to_A
P -644.5000, -2045.0000, 0.0000, 0, 0, 240, 2, Floor_A
P -644.5000, -2010.0000, 0.0000, 150, 0, 150, 2, to_B
P -695.0000, -2045.0000, 0.0000, 0, 0, 0, 2, to_A
P -595.0000, -2045.0000, 0.0000, 0, 0, 0, 2, to_A
P -644.5000, -2080.0000, 0.0000, 0, 0, 0, 2, to_A
P -644.5000, -2080.0000, -1277.0000, 0, 0, 0, 2, to_H
P -595.0000, -2045.0000, -1277.0000, 150, 0, 150, 2, to_P_(Top)
P -695.0000, -2045.0000, -1277.0000, 0, 0, 0, 2, to_C
P -644.5000, -2010.0000, -1277.0000, 0, 0, 0, 2, to_I
P -644.5000, -2045.0000, -1277.0000, 0, 0, 240, 2, Floor_O
P -644.5000, -2080.0000, -1186.0000, 150, 0, 150, 2, to_O
P -695.0000, -2045.0000, -1186.0000, 0, 0, 0, 2, to_D
P -644.5000, -2010.0000, -1186.0000, 0, 0, 0, 2, to_B
P -644.5000, -2045.0000, -1186.0000, 0, 0, 240, 2, Floor_N
P -644.5000, -2080.0000, -1094.0000, 0, 0, 0, 2, to_D
P -595.0000, -2045.0000, -1094.0000, 150, 0, 150, 2, to_N
P -695.0000, -2045.0000, -1094.0000, 0, 0, 0, 2, to_J
P -644.5000, -2010.0000, -1094.0000, 0, 0, 0, 2, to_E
P -644.5000, -2045.0000, -1094.0000, 0, 0, 240, 2, Floor_M
P -644.5000, -2080.0000, -1003.0000, 150, 0, 150, 2, to_M
P -595.0000, -2045.0000, -1003.0000, 0, 0, 0, 2, to_I
P -695.0000, -2045.0000, -1003.0000, 0, 0, 0, 2, to_G
P -644.5000, -2010.0000, -1003.0000, 0, 0, 0, 2, to_I
P -644.5000, -2045.0000, -1003.0000, 0, 0, 240, 2, Floor_L
P -644.5000, -2080.0000, -912.0000, 0, 0, 0, 2, to_J
P -595.0000, -2045.0000, -912.0000, 150, 0, 150, 2, to_L
