P 500, 200, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 500, 400, 0, 0, 0, 0, 2, www.eqmaps.info
P 500, 600, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 769.0, -391.0, -7.0, 753.0, -366.0, -10.0, 0, 0, 0
L 797.0, -391.0, -7.0, 813.0, -367.0, -10.0, 0, 0, 0
L 541.0, -741.0, 0.0, 541.0, -750.0, 0.0, 255, 255, 0
L 535.0, -741.0, 0.0, 541.0, -741.0, 0.0, 255, 255, 0
L 530.0, -753.0, 0.0, 526.0, -753.0, 0.0, 0, 0, 0
L 545.0, -757.0, 0.0, 530.0, -757.0, 0.0, 0, 0, 0
L 545.0, -751.0, 0.0, 545.0, -757.0, 0.0, 0, 0, 0
L 609.0, -751.0, 0.0, 545.0, -751.0, 0.0, 0, 0, 0
L 609.0, -765.0, 0.0, 609.0, -754.0, 0.0, 0, 0, 0
L 573.0, -765.0, 0.0, 609.0, -765.0, 0.0, 0, 0, 0
L 573.0, -801.0, 0.0, 573.0, -765.0, 0.0, 0, 0, 0
L 621.0, -801.0, 0.0, 573.0, -801.0, 0.0, 0, 0, 0
L 621.0, -751.0, 0.0, 621.0, -754.0, 0.0, 0, 0, 0
L 636.0, -775.0, 0.0, 636.0, -751.0, 0.0, 0, 0, 0
L 683.0, -775.0, 0.0, 636.0, -775.0, 0.0, 0, 0, 0
L 683.0, -716.0, 0.0, 683.0, -775.0, 0.0, 0, 0, 0
L 636.0, -716.0, 0.0, 683.0, -716.0, 0.0, 0, 0, 0
L 636.0, -739.0, 0.0, 636.0, -716.0, 0.0, 0, 0, 0
L 609.0, -739.0, 0.0, 636.0, -739.0, 0.0, 0, 0, 0
L 609.0, -725.0, 0.0, 609.0, -736.0, 0.0, 0, 0, 0
L 621.0, -725.0, 0.0, 609.0, -725.0, 0.0, 0, 0, 0
L 621.0, -737.0, 0.0, 621.0, -725.0, 0.0, 0, 0, 0
L 633.0, -737.0, 0.0, 621.0, -737.0, 0.0, 0, 0, 0
L 633.0, -701.0, 0.0, 633.0, -737.0, 0.0, 0, 0, 0
L 598.0, -701.0, 0.0, 633.0, -701.0, 0.0, 0, 0, 0
L 585.0, -703.0, 0.0, 585.0, -739.0, 0.0, 0, 0, 0
L 591.0, -683.0, 0.0, 591.0, -699.0, 0.0, 0, 0, 0
L 587.0, -683.0, 0.0, 591.0, -683.0, 0.0, 0, 0, 0
L 591.0, -679.0, 0.0, 587.0, -679.0, 0.0, 0, 0, 0
L 591.0, -632.0, 0.0, 591.0, -679.0, 0.0, 0, 0, 0
L 585.0, -632.0, 0.0, 591.0, -632.0, 0.0, 0, 0, 0
L 602.0, -643.0, 0.0, 601.0, -629.0, 0.0, 0, 0, 0
L 615.0, -643.0, 0.0, 602.0, -643.0, 0.0, 0, 0, 0
L 616.0, -656.0, 0.0, 615.0, -643.0, 0.0, 0, 0, 0
L 629.0, -643.0, 0.0, 616.0, -656.0, 0.0, 0, 0, 0
L 629.0, -615.0, 0.0, 629.0, -643.0, 0.0, 0, 0, 0
L 601.0, -601.0, 0.0, 615.0, -573.0, -7.0, 0, 0, 0
L 629.0, -615.0, 0.0, 601.0, -601.0, 0.0, 0, 0, 0
L 909.0, -549.0, 0.0, 909.0, -558.0, 0.0, 255, 255, 0
L 915.0, -549.0, 0.0, 909.0, -549.0, 0.0, 255, 255, 0
L 915.0, -558.0, 0.0, 915.0, -549.0, 0.0, 255, 255, 0
L 909.0, -558.0, 0.0, 915.0, -558.0, 0.0, 255, 255, 0
L 901.0, -569.0, 0.0, 923.0, -569.0, 0.0, 0, 0, 0
L 927.0, -581.0, 0.0, 905.0, -581.0, 0.0, 0, 0, 0
L 927.0, -523.0, 0.0, 927.0, -581.0, 0.0, 0, 0, 0
L 889.0, -499.0, 0.0, 889.0, -606.0, 0.0, 0, 0, 0
L 841.0, -499.0, 0.0, 889.0, -499.0, 0.0, 0, 0, 0
L 841.0, -514.0, 0.0, 841.0, -499.0, 0.0, 0, 0, 0
L 823.0, -533.0, -3.0, 816.0, -540.0, -3.0, 150, 150, 150
L 823.0, -533.0, -3.0, 847.0, -533.0, -3.0, 150, 150, 150
L 816.0, -565.0, -3.0, 816.0, -540.0, -3.0, 150, 150, 150
L 823.0, -572.0, -3.0, 816.0, -565.0, -3.0, 150, 150, 150
L 847.0, -572.0, -3.0, 823.0, -572.0, -3.0, 150, 150, 150
L 854.0, -564.0, -3.0, 847.0, -572.0, -3.0, 150, 150, 150
L 855.0, -540.0, -3.0, 854.0, -564.0, -3.0, 150, 150, 150
L 728.0, -545.0, -3.0, 713.0, -489.0, -8.0, 0, 0, 0
L 741.0, -587.0, 0.0, 728.0, -545.0, -3.0, 0, 0, 0
L 769.0, -587.0, 0.0, 741.0, -587.0, 0.0, 0, 0, 0
L 782.0, -574.0, 10.0, 769.0, -587.0, 0.0, 0, 0, 0
L 769.0, -573.0, 0.0, 782.0, -574.0, 10.0, 0, 0, 0
L 755.0, -559.0, 0.0, 769.0, -573.0, 0.0, 0, 0, 0
L 767.0, -559.0, 0.0, 755.0, -559.0, 0.0, 0, 0, 0
L 797.0, -563.0, 0.0, 773.0, -563.0, 0.0, 0, 0, 0
L 939.0, -488.0, 0.0, 939.0, -617.0, 0.0, 0, 0, 0
L 773.0, -542.0, 0.0, 796.0, -542.0, 0.0, 0, 0, 0
L 755.0, -546.0, 0.0, 767.0, -546.0, 0.0, 0, 0, 0
L 769.0, -531.0, 0.0, 755.0, -546.0, 0.0, 0, 0, 0
L 782.0, -531.0, 10.0, 769.0, -531.0, 0.0, 0, 0, 0
L 769.0, -518.0, 0.0, 782.0, -531.0, 10.0, 0, 0, 0
L 741.0, -504.0, 0.0, 769.0, -518.0, 0.0, 0, 0, 0
L 727.0, -476.0, -3.0, 741.0, -504.0, 0.0, 0, 0, 0
L 713.0, -475.0, -7.0, 727.0, -476.0, -3.0, 0, 0, 0
L 587.0, -407.0, 14.0, 595.0, -407.0, 14.0, 0, 0, 0
L 587.0, -399.0, 14.0, 587.0, -407.0, 14.0, 0, 0, 0
L 595.0, -399.0, 14.0, 587.0, -399.0, 14.0, 0, 0, 0
L 595.0, -407.0, 14.0, 595.0, -399.0, 14.0, 0, 0, 0
L 608.0, -399.0, 14.0, 608.0, -407.0, 14.0, 0, 0, 0
L 616.0, -399.0, 14.0, 608.0, -399.0, 14.0, 0, 0, 0
L 616.0, -407.0, 14.0, 616.0, -399.0, 14.0, 0, 0, 0
L 608.0, -407.0, 14.0, 616.0, -407.0, 14.0, 0, 0, 0
