P -900, -400, -259, 102, 0, 204, 2, Basement
P -900, -300, -7, 0, 0, 0, 2, First_Floor
P -900, -200, 129, 0, 204, 204, 2, Second_Floor
P -900, -100, 256, 0, 204, 0, 2, Third_Floor
L -712.0, 301.0, -255.0, -712.0, 571.0, -255.0, 102, 0, 204
L -712.0, 571.0, -255.0, -293.0, 571.0, -253.0, 102, 0, 204
L -293.0, 571.0, -253.0, -292.0, 521.0, -254.0, 102, 0, 204
L -292.0, 521.0, -254.0, -274.0, 521.0, -254.0, 102, 0, 204
L -274.0, 521.0, -254.0, -274.0, 587.0, -255.0, 102, 0, 204
L -251.0, 589.0, -255.0, -251.0, 522.0, -255.0, 102, 0, 204
L -251.0, 522.0, -255.0, -228.0, 522.0, -255.0, 102, 0, 204
L -228.0, 522.0, -255.0, -228.0, 573.0, -255.0, 102, 0, 204
L -228.0, 573.0, -255.0, 309.0, 573.0, -255.0, 102, 0, 204
L 309.0, 573.0, -255.0, 308.0, 299.0, -255.0, 102, 0, 204
L 15.0, 246.0, -255.0, 15.0, 259.0, -255.0, 102, 0, 204
L 15.0, 259.0, -255.0, 64.0, 259.0, -255.0, 102, 0, 204
L 64.0, 259.0, -255.0, 65.0, 221.0, -255.0, 150, 150, 150
L 65.0, 221.0, -255.0, 171.0, 221.0, -225.0, 150, 150, 150
L 21.0, 206.0, -225.0, 22.0, 23.0, -225.0, 150, 150, 150
L 12.0, 211.0, -259.0, 12.0, 170.0, -258.0, 102, 0, 204
L 9.0, -149.0, -259.0, 11.0, -191.0, -259.0, 102, 0, 204
L 170.0, -203.0, -225.0, 170.0, -208.0, -225.0, 150, 150, 150
L 170.0, -208.0, -225.0, 76.0, -208.0, -225.0, 150, 150, 150
L 76.0, -208.0, -225.0, 76.0, -242.0, -225.0, 150, 150, 150
L 76.0, -242.0, -225.0, 132.0, -242.0, -225.0, 178, 102, 255
L 132.0, -247.0, -225.0, 126.0, -247.0, -225.0, 178, 102, 255
L 126.0, -247.0, -225.0, 126.0, -260.0, -225.0, 178, 102, 255
L 255.0, -260.0, -194.0, 255.0, -242.0, -194.0, 204, 0, 204
L 255.0, -242.0, -194.0, 283.0, -242.0, -194.0, 204, 0, 204
L 283.0, -242.0, -194.0, 282.0, -152.0, -194.0, 204, 0, 204
L 282.0, -152.0, -194.0, 154.0, -153.0, -194.0, 204, 0, 204
L 167.0, 0.0, -194.0, 167.0, -68.0, -194.0, 204, 0, 204
L 167.0, -68.0, -194.0, 203.0, -68.0, -194.0, 204, 0, 204
L 203.0, -68.0, -194.0, 203.0, -71.0, -194.0, 204, 0, 204
L 203.0, -74.0, -194.0, 167.0, -74.0, -194.0, 204, 0, 204
L 167.0, -74.0, -194.0, 167.0, -140.0, -194.0, 204, 0, 204
L 167.0, -140.0, -194.0, 256.0, -140.0, -194.0, 204, 0, 204
L 256.0, -140.0, -194.0, 256.0, -74.0, -194.0, 204, 0, 204
L 256.0, -74.0, -194.0, 221.0, -74.0, -194.0, 204, 0, 204
L 221.0, -74.0, -194.0, 221.0, -71.0, -194.0, 204, 0, 204
L 256.0, -68.0, -194.0, 256.0, 87.0, -194.0, 204, 0, 204
L 256.0, 87.0, -194.0, 221.0, 87.0, -194.0, 204, 0, 204
L 221.0, 87.0, -194.0, 221.0, 90.0, -194.0, 204, 0, 204
L 221.0, 93.0, -194.0, 256.0, 93.0, -194.0, 204, 0, 204
L 256.0, 93.0, -194.0, 256.0, 159.0, -194.0, 204, 0, 204
L 256.0, 159.0, -194.0, 167.0, 159.0, -194.0, 204, 0, 204
L 167.0, 159.0, -194.0, 167.0, 93.0, -194.0, 204, 0, 204
L 167.0, 93.0, -194.0, 203.0, 93.0, -194.0, 204, 0, 204
L 203.0, 93.0, -194.0, 203.0, 90.0, -194.0, 204, 0, 204
L 203.0, 87.0, -194.0, 167.0, 87.0, -194.0, 204, 0, 204
L 167.0, 25.0, -194.0, 160.5, 25.0, -194.0, 204, 0, 204
L 154.0, 25.0, -194.0, 154.0, 172.0, -194.0, 204, 0, 204
L 154.0, 172.0, -194.0, 283.0, 172.0, -194.0, 204, 0, 204
L 283.0, 172.0, -194.0, 283.0, 261.0, -194.0, 204, 0, 204
L 283.0, 261.0, -194.0, 192.0, 261.0, -194.0, 204, 0, 204
L 192.0, 261.0, -194.0, 192.0, 186.0, -194.0, 204, 0, 204
L 192.0, 186.0, -194.0, 138.0, 186.0, -194.0, 204, 0, 204
L 138.0, 186.0, -194.0, 138.0, -167.0, -194.0, 204, 0, 204
L 138.0, -167.0, -194.0, 192.0, -167.0, -194.0, 204, 0, 204
L 192.0, -167.0, -194.0, 192.0, -241.0, -194.0, 204, 0, 204
L 192.0, -241.0, -194.0, 242.0, -241.0, -194.0, 204, 0, 204
L 242.0, -241.0, -194.0, 242.0, -246.0, -194.0, 204, 0, 204
L 242.0, -246.0, -194.0, 138.0, -247.0, -225.0, 204, 0, 204
L 188.0, -242.0, -225.0, 188.0, -171.0, -225.0, 178, 102, 255
L 188.0, -171.0, -225.0, 128.0, -171.0, -225.0, 178, 102, 255
L 128.0, -171.0, -225.0, 128.0, -151.0, -225.0, 178, 102, 255
