P 300, 1200, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 300, 1400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 300, 1600, 0, 0, 0, 0, 2, www.eqmaps.info
P 300, 1800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 38.4, 53.5, -135.8, 36.3, 60.0, -135.8, 127, 64, 0
L 36.3, 60.0, -135.8, 29.9, 59.5, -135.8, 127, 64, 0
L 29.9, 59.5, -135.8, 24.1, 54.0, -135.8, 127, 64, 0
L 24.1, 54.0, -135.8, 14.6, 54.0, -135.8, 127, 64, 0
L 14.6, 54.0, -135.8, 8.6, 59.9, -137.8, 127, 64, 0
L 8.0, 59.8, -137.8, 5.0, 59.2, -137.8, 127, 64, 0
L 5.0, 59.2, -137.8, 5.0, 53.3, -135.8, 127, 64, 0
L 5.0, 53.3, -135.8, -1.4, 46.9, -135.8, 127, 64, 0
L -1.4, 46.9, -135.8, -10.4, 46.6, -135.8, 127, 64, 0
L -10.4, 46.6, -135.8, -20.0, 41.2, -135.8, 127, 64, 0
L -20.0, 41.2, -135.8, -23.9, 37.0, -135.8, 127, 64, 0
L -23.9, 37.0, -135.8, -32.4, 37.0, -137.8, 127, 64, 0
L -32.4, 37.0, -137.8, -37.1, 41.7, -137.8, 127, 64, 0
L -37.1, 41.7, -137.8, -43.0, 37.5, -137.8, 127, 64, 0
L -43.0, 37.5, -137.8, -43.0, 30.2, -135.8, 127, 64, 0
L -43.0, 30.2, -135.8, -49.4, 25.0, -135.8, 127, 64, 0
L -49.4, 25.0, -135.8, -57.4, 25.0, -135.8, 127, 64, 0
L -57.4, 25.0, -135.8, -61.4, 30.0, -135.8, 127, 64, 0
L -67.6, 30.0, -135.8, -61.4, 30.0, -135.8, 127, 64, 0
L 181.0, 1.4, -137.8, 172.4, 13.2, -137.8, 0, 255, 0
L 82.0, -274.3, -141.9, 82.0, -274.0, -141.9, 0, 0, 255
L 82.0, -259.5, -141.9, 67.1, -246.9, -141.9, 0, 0, 255
L 67.1, -246.9, -141.9, 34.2, -247.0, -141.9, 0, 0, 255
L 34.2, -247.0, -141.9, 20.0, -259.5, -141.9, 0, 0, 255
L 20.0, -259.5, -141.9, 20.0, -274.3, -141.9, 0, 0, 255
L 20.0, -274.3, -141.9, 37.5, -284.9, -141.9, 0, 0, 255
L 37.5, -284.9, -141.9, 64.5, -284.8, -141.9, 0, 0, 255
L 82.0, -274.0, -141.9, 82.0, -259.5, -141.9, 0, 0, 255
L 64.5, -284.8, -141.9, 82.0, -274.0, -141.9, 0, 0, 255
L 4.0, -148.0, -137.8, 4.0, -162.4, -137.8, 127, 64, 0
L 4.0, -162.4, -137.8, -9.2, -148.0, -137.8, 127, 64, 0
L -9.2, -148.0, -137.8, 4.0, -148.0, -137.8, 127, 64, 0
L 4.0, -130.1, -137.8, -9.5, -118.0, -137.8, 127, 64, 0
L -9.5, -118.0, -137.8, 4.0, -118.0, -138.8, 127, 64, 0
L 4.0, -130.1, -137.8, 4.0, -118.0, -138.8, 127, 64, 0
L 31.7, -36.8, -136.8, 75.8, -36.7, -136.8, 150, 150, 150
L 75.9, -38.7, -135.8, 32.0, -38.7, -135.8, 150, 150, 150
L 25.6, -40.6, -134.8, 86.0, -40.6, -134.8, 150, 150, 150
L 91.1, -42.4, -133.8, 20.7, -42.5, -133.8, 150, 150, 150
L 12.9, -45.5, -132.8, 98.0, -45.5, -132.8, 150, 150, 150
L 67.6, -49.9, -131.8, 78.3, -54.8, -131.8, 150, 150, 150
L 78.3, -54.8, -131.8, 81.5, -57.1, -131.8, 150, 150, 150
L 81.5, -57.1, -131.8, 83.0, -59.7, -131.8, 150, 150, 150
L 83.0, -59.7, -131.8, 83.1, -71.4, -131.8, 150, 150, 150
L 83.1, -71.4, -131.8, 85.2, -74.6, -131.8, 150, 150, 150
L 85.2, -74.6, -131.8, 87.0, -80.9, -131.8, 150, 150, 150
L 87.0, -80.9, -131.8, 87.0, -82.5, -131.8, 150, 150, 150
L 87.0, -82.5, -131.8, 85.2, -88.2, -131.8, 150, 150, 150
L 85.2, -88.2, -131.8, 83.3, -91.2, -131.8, 150, 150, 150
L 27.6, -93.9, -131.8, 24.3, -89.1, -131.8, 150, 150, 150
L 24.3, -89.1, -131.8, 22.0, -82.6, -131.8, 150, 150, 150
L 22.0, -82.6, -131.8, 22.0, -80.2, -131.8, 150, 150, 150
L 22.0, -80.2, -131.8, 23.9, -74.4, -131.8, 150, 150, 150
L 23.9, -74.4, -131.8, 25.7, -71.7, -131.8, 150, 150, 150
L 25.7, -71.7, -131.8, 26.1, -59.2, -131.8, 150, 150, 150
L 26.1, -59.2, -131.8, 29.4, -56.2, -131.8, 150, 150, 150
L 29.4, -56.2, -131.8, 31.5, -54.8, -131.8, 150, 150, 150
L 31.5, -54.8, -131.8, 36.1, -52.1, -131.8, 150, 150, 150
L 36.1, -52.1, -131.8, 40.4, -49.1, -131.8, 150, 150, 150
L 40.4, -49.1, -131.8, 42.6, -47.7, -131.8, 150, 150, 150
L 40.4, -49.1, -131.8, 40.9, -48.8, -131.8, 150, 150, 150
L 61.4, -45.5, -131.8, 64.5, -47.8, -131.8, 150, 150, 150
L 83.3, -91.2, -131.8, 80.1, -97.5, -131.8, 150, 150, 150
L 80.1, -97.5, -131.8, 78.6, -99.0, -131.8, 150, 150, 150
L 78.6, -99.0, -131.8, 76.2, -103.4, -137.8, 150, 150, 150
L 73.3, -109.7, -108.8, 105.9, -109.5, -108.8, 150, 150, 150
L 75.3, -106.7, -109.8, 106.3, -106.8, -109.8, 150, 150, 150
L 108.4, -103.6, -110.8, 76.0, -103.6, -110.8, 150, 150, 150
L 77.1, -101.6, -111.8, 109.3, -101.6, -111.8, 150, 150, 150
L 110.2, -99.7, -112.8, 78.2, -99.7, -112.8, 150, 150, 150
L 80.1, -97.6, -113.8, 110.9, -97.6, -113.8, 150, 150, 150
L 111.3, -95.5, -114.8, 81.1, -95.6, -114.8, 150, 150, 150
L 82.0, -93.7, -115.8, 112.5, -93.8, -115.8, 150, 150, 150
L 83.0, -91.7, -116.8, 114.3, -91.6, -116.8, 150, 150, 150
L 116.1, -88.6, -117.8, 84.9, -88.7, -117.8, 150, 150, 150
L 86.0, -85.8, -118.8, 116.9, -85.7, -118.8, 150, 150, 150
L 117.0, -82.7, -119.8, 87.0, -82.7, -119.8, 150, 150, 150
L 86.7, -79.7, -120.8, 116.9, -79.7, -120.8, 150, 150, 150
L 115.9, -76.7, -121.8, 85.8, -76.7, -121.8, 150, 150, 150
L 84.6, -73.8, -122.8, 114.9, -73.6, -122.8, 150, 150, 150
L 113.9, -70.8, -123.8, 83.1, -70.7, -123.8, 150, 150, 150
L 83.0, -67.6, -124.8, 113.9, -67.7, -124.8, 150, 150, 150
L 113.9, -64.7, -125.8, 83.0, -64.8, -124.9, 150, 150, 150
L 83.0, -61.7, -126.8, 113.8, -61.7, -126.8, 150, 150, 150
L 113.8, -58.7, -127.8, 82.5, -58.7, -127.8, 150, 150, 150
L 79.6, -55.6, -128.8, 112.9, -55.7, -128.8, 150, 150, 150
L 111.9, -53.6, -129.8, 75.6, -53.5, -129.8, 150, 150, 150
L 106.0, -50.6, -130.8, 69.0, -50.5, -130.8, 150, 150, 150
L 64.5, -47.8, -131.8, 67.6, -49.9, -131.8, 150, 150, 150
L 64.5, -47.8, -131.8, 102.2, -47.7, -131.8, 150, 150, 150
L 42.6, -47.7, -131.8, 45.9, -45.5, -131.8, 150, 150, 150
