P 200, 900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200, 1100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 200, 1300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 16, -15, 42, 16, 15, 42, 0, 255, 0
L 212, -198, 0, 240, -198, 0, 0, 255, 255
L 212, -263, 0, 212, -198, 0, 0, 255, 255
L 277, -263, 0, 212, -263, 0, 0, 255, 255
L 250, -198, 0, 277, -198, 0, 0, 255, 255
L 250, -193, 0, 250, -198, 0, 0, 255, 255
L 250, -182, 0, 250, -193, 0, 0, 255, 255
L -167, -39, 28, -167, -31, 28, 0, 0, 0
L -140, -39, 28, -167, -39, 28, 199, 21, 133
L 182, 339, 0, 212, 339, 0, 205, 133, 63
L 182, 326, 0, 182, 339, 0, 0, 0, 0
L 213, 326, 0, 182, 326, 0, 0, 0, 0
L 213, 326, 0, 213, 330, 0, 0, 0, 0
L 213, 352, 0, 218, 352, 0, 0, 0, 0
L 213, 347, 0, 213, 352, 0, 0, 0, 0
L 218, 347, 0, 213, 347, 0, 0, 0, 0
L 218, 352, 0, 218, 347, 0, 0, 0, 0
L 235, 360, -3, 304, 360, -3, 150, 150, 150
L 235, 325, -3, 235, 360, -3, 150, 150, 150
L 304, 325, -3, 235, 325, -3, 150, 150, 150
L 304, 360, -3, 304, 325, -3, 150, 150, 150
L 232, 363, -1, 307, 363, -1, 150, 150, 150
L 232, 322, -1, 232, 363, -1, 150, 150, 150
L 307, 322, -1, 232, 322, -1, 150, 150, 150
L 307, 363, -1, 307, 322, -1, 150, 150, 150
L 321, 308, 0, 218, 308, 0, 0, 0, 0
L 321, 308, 0, 321, 330, 0, 0, 0, 0
L 321, 352, 0, 326, 352, 0, 0, 0, 0
L 321, 347, 0, 321, 352, 0, 0, 0, 0
L 326, 347, 0, 321, 347, 0, 0, 0, 0
L 326, 352, 0, 326, 347, 0, 0, 0, 0
L 326, 326, 0, 326, 330, 0, 0, 0, 0
L 321, 330, 0, 326, 330, 0, 0, 0, 0
L 357, 326, 0, 326, 326, 0, 0, 0, 0
L 357, 339, 0, 357, 326, 0, 0, 0, 0
L 327, 339, 0, 357, 339, 0, 205, 133, 63
L 327, 344, 0, 327, 339, 0, 205, 133, 63
L 357, 344, 0, 327, 344, 0, 205, 133, 63
L 357, 356, 0, 357, 344, 0, 0, 0, 0
L 326, 408, 9, 326, 423, 9, 0, 0, 0
L 182, 326, 18, 182, 373, 18, 0, 255, 0
L 213, 326, 18, 182, 326, 18, 0, 255, 0
L 213, 423, 9, 213, 408, 9, 0, 0, 0
L 182, 423, 9, 213, 423, 9, 0, 0, 0
L 144, 322, 0, 161, 306, 0, 0, 0, 255
L 153, 306, 0, 144, 315, 0, 0, 0, 255
L 377, 377, 0, 377, 309, 0, 150, 150, 150
L 360, 377, 0, 377, 377, 0, 0, 0, 0
L 360, 369, 0, 360, 377, 0, 0, 0, 0
L 357, 369, 0, 358, 369, 0, 0, 0, 0
L 326, 373, 0, 344, 373, 0, 150, 150, 150
L 326, 369, 0, 326, 373, 0, 0, 0, 0
L 321, 369, 0, 326, 369, 0, 0, 0, 0
L 321, 377, 0, 321, 369, 0, 0, 0, 0
L 281, 380, 0, 281, 409, 0, 0, 0, 0
L 330, 465, 0, 330, 434, 0, 0, 0, 0
L 297, 465, 0, 330, 465, 0, 0, 0, 0
L 297, 434, 0, 297, 465, 0, 0, 0, 0
L 292, 449, 0, 292, 434, 0, 0, 0, 0
L 292, 483, 0, 292, 452, 0, 0, 0, 0
L 261, 483, 0, 292, 483, 0, 0, 0, 0
L 217, 380, 0, 217, 409, 0, 0, 0, 0
L 242, 380, 0, 217, 380, 0, 0, 0, 0
L 245, 380, 0, 245, 409, 0, 0, 0, 0
L 256, 380, 0, 245, 380, 0, 0, 0, 0
L 256, 396, 0, 256, 380, 0, 205, 133, 63
L 261, 396, 0, 256, 396, 0, 205, 133, 63
L 261, 380, 0, 261, 396, 0, 205, 133, 63
L 218, 369, 0, 218, 377, 0, 0, 0, 0
L 213, 369, 0, 218, 369, 0, 0, 0, 0
L 213, 373, 0, 213, 369, 0, 0, 0, 0
L 195, 373, 0, 213, 373, 0, 0, 0, 0
L 177, 369, 0, 179, 369, 0, 0, 0, 0
L 146, 357, 0, 179, 377, 0, 0, 0, 0
L 94, 357, 0, 143, 357, 0, 0, 0, 0
L 94, 310, 0, 94, 357, 0, 0, 0, 0
L 101, 307, 0, 109, 307, 0, 0, 0, 0
L 101, 271, 0, 101, 307, 0, 0, 0, 0
L 132, 271, 0, 101, 271, 0, 0, 0, 0
L 132, 307, 0, 132, 271, 0, 0, 0, 0
L 128, 307, 0, 132, 307, 0, 0, 0, 0
L 123, 307, 0, 128, 307, 0, 0, 0, 0
L 123, 310, 0, 123, 307, 0, 0, 0, 0
L 141, 310, 0, 123, 310, 0, 0, 0, 0
L 141, 325, 0, 141, 310, 0, 0, 0, 0
L 109, 325, 0, 141, 325, 0, 205, 133, 63
L 109, 342, 0, 109, 325, 0, 205, 133, 63
L 114, 342, 0, 109, 342, 0, 205, 133, 63
L 114, 330, 0, 114, 342, 0, 205, 133, 63
L 141, 330, 0, 114, 330, 0, 205, 133, 63
L 141, 344, 0, 141, 330, 0, 0, 0, 0
L 146, 344, 0, 143, 344, 0, 0, 0, 0
L 144, 322, 0, 144, 341, 0, 0, 0, 0
L 182, 303, 0, 182, 305, 0, 0, 0, 0
L 148, 303, 0, 182, 303, 0, 0, 0, 0
L 148, 276, 0, 148, 303, 0, 0, 0, 0
L 148, 271, 0, 182, 271, 0, 205, 133, 63
