P -700, 2900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule/Fennin_Ro)
P -700, 3100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -700, 3300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 2581.0, 1987.0, 20.0, 2583.0, 1970.0, 20.0, 0, 0, 0
L 32.0, -2557.0, 15.0, 32.0, -2603.0, 15.0, 0, 0, 0
L -595.0, -232.0, 74.0, -604.0, -224.0, 74.0, 100, 50, 0
L -595.0, -245.0, 74.0, -595.0, -232.0, 74.0, 100, 50, 0
L -603.0, -254.0, 74.0, -595.0, -245.0, 74.0, 100, 50, 0
L -616.0, -254.0, 74.0, -603.0, -254.0, 74.0, 100, 50, 0
L -625.0, -245.0, 74.0, -616.0, -254.0, 74.0, 100, 50, 0
L -625.0, -232.0, 74.0, -625.0, -245.0, 74.0, 100, 50, 0
L -616.0, -224.0, 74.0, -625.0, -232.0, 74.0, 100, 50, 0
L -770.0, -146.0, 74.0, -761.0, -137.0, 74.0, 100, 50, 0
L -783.0, -146.0, 74.0, -770.0, -146.0, 74.0, 100, 50, 0
L -791.0, -138.0, 74.0, -783.0, -146.0, 74.0, 100, 50, 0
L -799.0, -146.0, 74.0, -791.0, -138.0, 74.0, 100, 50, 0
L -811.0, -146.0, 74.0, -799.0, -146.0, 74.0, 100, 50, 0
L -820.0, -138.0, 74.0, -811.0, -146.0, 74.0, 100, 50, 0
L -835.0, -138.0, 74.0, -820.0, -138.0, 74.0, 100, 50, 0
L -835.0, -124.0, 74.0, -835.0, -138.0, 74.0, 100, 50, 0
L -820.0, -124.0, 74.0, -835.0, -124.0, 74.0, 100, 50, 0
L -811.0, -116.0, 74.0, -820.0, -124.0, 74.0, 100, 50, 0
L -799.0, -116.0, 74.0, -811.0, -116.0, 74.0, 100, 50, 0
L -791.0, -124.0, 74.0, -799.0, -116.0, 74.0, 100, 50, 0
L -783.0, -116.0, 74.0, -791.0, -124.0, 74.0, 100, 50, 0
L -770.0, -116.0, 74.0, -783.0, -116.0, 74.0, 100, 50, 0
L -761.0, -125.0, 74.0, -770.0, -116.0, 74.0, 100, 50, 0
L -462.0, -284.0, 74.0, -463.0, -264.0, 74.0, 100, 50, 0
L -476.0, -298.0, 74.0, -462.0, -284.0, 74.0, 100, 50, 0
L -495.0, -297.0, 74.0, -476.0, -298.0, 74.0, 100, 50, 0
L -494.0, -316.0, 74.0, -495.0, -297.0, 74.0, 100, 50, 0
