P 0, 300, 0, 0, 0, 0, 2, Original_Map:_Goodurden_<RoI>
P 0, 500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule/Fennin_Ro)
P 0, 700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 0, 1100, 0, 0, 0, 0, 2, Height_Filter:_12/13
P 100, -550, 51, 0, 127, 0, 2, 4th_Floor
P 100, -525, 43, 0, 255, 255, 2, 3rd_Floor
P 100, -500, 16, 0, 255, 0, 2, 2nd_Floor
P 100, -475, 2, 0, 0, 0, 2, 1st_Floor
P 100, -450, -16, 127, 0, 0, 2, Basement
L -320.0, -67.0, 0.0, -320.0, -59.0, 0.0, 0, 0, 0
L -320.0, -59.0, 0.0, -260.0, -59.0, 0.0, 0, 0, 0
L -260.0, -59.0, 0.0, -260.0, 1.0, 0.0, 0, 0, 0
L -260.0, 1.0, 0.0, -200.0, -8.0, 0.0, 0, 0, 0
L -199.0, -8.0, 0.0, -100.0, 30.0, 0.0, 0, 0, 0
L -100.0, 30.0, 0.0, -9.0, 30.0, 0.0, 0, 0, 0
L 9.0, -30.0, 0.0, 9.0, 49.0, 0.0, 0, 0, 0
L 9.0, 49.0, 0.0, -99.0, 49.0, 0.0, 0, 0, 0
L -99.0, 49.0, 0.0, -259.0, 19.0, 0.0, 0, 0, 0
L -259.0, 19.0, 0.0, -278.0, 19.0, 0.0, 0, 0, 0
L -278.0, 19.0, 0.0, -278.0, -40.0, 0.0, 0, 0, 0
L -278.0, -40.0, 0.0, -338.0, -40.0, 0.0, 0, 0, 0
L -338.0, -40.0, 0.0, -338.0, -67.0, 0.0, 0, 0, 0
L -338.0, -67.0, 0.0, -320.0, -67.0, 0.0, 199, 21, 133
L 9.0, -30.0, 0.0, 52.0, -99.0, 0.0, 0, 0, 0
L 52.0, -99.0, 0.0, 49.0, -99.0, 0.0, 0, 0, 0
L 49.0, -99.0, 0.0, 49.0, -210.0, 0.0, 0, 0, 0
L 49.0, -210.0, 0.0, 89.0, -280.0, 0.0, 0, 0, 0
L 89.0, -280.0, 0.0, 88.0, -300.0, 0.0, 0, 0, 0
L 88.0, -300.0, 0.0, 205.0, -300.0, 0.0, 0, 0, 0
L 205.0, -300.0, 0.0, 298.0, -390.0, 0.0, 0, 0, 0
L 298.0, -390.0, 0.0, 298.0, -671.0, 0.0, 0, 0, 0
L 298.0, -799.0, 0.0, 270.0, -827.0, 0.0, 0, 0, 0
L 209.0, -888.0, 0.0, -209.0, -888.0, 0.0, 0, 0, 0
L -209.0, -888.0, 0.0, -298.0, -799.0, 0.0, 0, 0, 0
L -298.0, -799.0, 0.0, -298.0, -390.0, 0.0, 0, 0, 0
L -298.0, -390.0, 0.0, -209.0, -300.0, 0.0, 0, 0, 0
L -209.0, -300.0, 0.0, -89.0, -300.0, 0.0, 0, 0, 0
L -89.0, -300.0, 0.0, -88.0, -280.0, 0.0, 0, 0, 0
L -88.0, -280.0, 0.0, -48.0, -210.0, 0.0, 0, 0, 0
L -48.0, -210.0, 0.0, -49.0, -99.0, 0.0, 0, 0, 0
L -52.0, -99.0, 0.0, -49.0, -99.0, 0.0, 0, 0, 0
L -52.0, -99.0, 0.0, -9.0, -30.0, 0.0, 0, 0, 0
L -9.0, -30.0, 0.0, -9.0, 30.0, 0.0, 0, 0, 0
L -35.0, -238.0, -1.0, -35.0, -291.0, -1.0, 0, 0, 255
L -35.0, -291.0, -1.0, -31.0, -294.0, -1.0, 0, 0, 255
L -31.0, -294.0, -1.0, -18.0, -294.0, -1.0, 0, 0, 255
L -18.0, -294.0, -1.0, -14.0, -291.0, -1.0, 0, 0, 255
L -14.0, -291.0, -1.0, -14.0, -238.0, -1.0, 0, 0, 255
L -14.0, -238.0, -1.0, -18.0, -234.0, -1.0, 0, 0, 255
L -18.0, -234.0, -1.0, -31.0, -234.0, -1.0, 0, 0, 255
L -31.0, -234.0, -1.0, -35.0, -238.0, -1.0, 0, 0, 255
L 31.0, -234.0, -1.0, 18.0, -234.0, -1.0, 0, 0, 255
L 18.0, -234.0, -1.0, 14.0, -238.0, -1.0, 0, 0, 255
L 14.0, -238.0, -1.0, 14.0, -291.0, -1.0, 0, 0, 255
L 14.0, -291.0, -1.0, 18.0, -294.0, -1.0, 0, 0, 255
L 18.0, -294.0, -1.0, 31.0, -294.0, -1.0, 0, 0, 255
L 31.0, -294.0, -1.0, 35.0, -291.0, -1.0, 0, 0, 255
L 35.0, -238.0, -1.0, 31.0, -234.0, -1.0, 0, 0, 255
L 35.0, -291.0, -1.0, 35.0, -238.0, -1.0, 0, 0, 255
L 90.0, -308.0, 0.0, 19.0, -308.0, 0.0, 0, 127, 0
L 19.0, -308.0, 0.0, 19.0, -320.0, 0.0, 0, 127, 0
L 19.0, -320.0, 0.0, 49.0, -320.0, 0.0, 0, 127, 0
L 49.0, -320.0, 0.0, 49.0, -340.0, 0.0, 0, 127, 0
L 49.0, -340.0, 0.0, 70.0, -340.0, 0.0, 0, 127, 0
L 70.0, -340.0, 0.0, 70.0, -328.0, 0.0, 0, 127, 0
L 70.0, -328.0, 0.0, 60.0, -328.0, 0.0, 0, 127, 0
L 60.0, -328.0, 0.0, 60.0, -320.0, 0.0, 0, 127, 0
L 60.0, -320.0, 0.0, 79.0, -320.0, 0.0, 0, 127, 0
L 79.0, -320.0, 0.0, 79.0, -348.0, 0.0, 0, 127, 0
L 79.0, -348.0, 0.0, 59.0, -348.0, 0.0, 0, 127, 0
L 59.0, -348.0, 0.0, 59.0, -360.0, 0.0, 0, 127, 0
L 59.0, -360.0, 0.0, 90.0, -360.0, 0.0, 0, 127, 0
L 90.0, -360.0, 0.0, 90.0, -340.0, 0.0, 0, 127, 0
L 90.0, -340.0, 0.0, 110.0, -340.0, 0.0, 0, 127, 0
L 110.0, -340.0, 0.0, 110.0, -328.0, 0.0, 0, 127, 0
L 110.0, -328.0, 0.0, 90.0, -328.0, 0.0, 0, 127, 0
L 90.0, -328.0, 0.0, 90.0, -308.0, 0.0, 0, 127, 0
