L -771.7109, 265.7344, 10.6729,  -757.9742, 264.5404, 10.3668,  0, 0, 0
L -757.9742, 264.5404, 10.3668,  -748.6014, 263.5498, 9.6942,  0, 0, 0
L -748.6014, 263.5498, 9.6942,  -741.8310, 265.0620, 10.2893,  0, 0, 0
L -741.8310, 265.0620, 10.2893,  -734.4894, 267.0161, 10.8899,  0, 0, 0
L -734.4894, 267.0161, 10.8899,  -730.7541, 269.7838, 12.4028,  0, 0, 0
L -730.7541, 269.7838, 12.4028,  -730.1379, 273.1889, 12.9338,  0, 0, 0
L -730.1379, 273.1889, 12.9338,  -730.8113, 276.7206, 12.9180,  0, 0, 0
L -730.8113, 276.7206, 12.9180,  -735.3583, 278.5725, 12.5808,  0, 0, 0
L -735.3583, 278.5725, 12.5808,  -739.2049, 280.8145, 12.1289,  0, 0, 0
L -739.2049, 280.8145, 12.1289,  -744.9905, 282.1879, 11.9066,  0, 0, 0
L -744.9905, 282.1879, 11.9066,  -753.9288, 280.3361, 12.6645,  0, 0, 0
L -753.9288, 280.3361, 12.6645,  -759.0278, 282.1662, 12.7741,  0, 0, 0
L -759.0278, 282.1662, 12.7741,  -772.4214, 282.8131, 13.0421,  0, 0, 0
P -98.1133, 1236.4688, -8.0701,  255, 0, 0,  3,  to_Arthicrex
P 741.5875, 405.9403, -10.7274,  255, 0, 0,  3,  to_Corathus_Creep
P -798.2936, 577.5720, 21.0557,  0, 0, 240,  1,  GS:_Rock_Pile
P -801.7471, 1322.2765, -741.6049,  0, 0, 240,  1,  GS:_Cryptic_Scroll
P -1006.5290, 1476.3429, -740.9289,  240, 240, 0,  2,  Teleport_A
P -852.9980, 1313.9966, 91.2340,  240, 240, 0,  2,  Teleport_A
P -840.1102, 1544.2013, 17.7458,  240, 240, 0,  2,  Teleport_B
P -885.0684, 1538.5945, -739.5367,  240, 240, 0,  2,  Teleport_B
P -1091.8152, 1555.7028, 15.4668,  240, 240, 0,  2,  Teleport_C
P -1061.4878, 1405.1200, -739.4192,  240, 240, 0,  2,  Teleport_C
P -1384.4236, 1279.7150, 23.4447,  240, 240, 0,  2,  Teleport_D
P -928.5687, 1404.5071, -739.2603,  240, 240, 0,  2,  Teleport_D
P -1221.8838, 1130.5680, 30.3641,  240, 240, 0,  2,  Teleport_E
P -1116.5553, 1333.6426, -739.2380,  240, 240, 0,  2,  Teleport_E
P -925.7219, 1017.3727, 36.2400,  240, 240, 0,  2,  Teleport_F
P -906.8935, 1212.7112, -739.2964,  240, 240, 0,  2,  Teleport_F
P -537.9615, 1086.8606, 22.1007,  240, 240, 0,  2,  Teleport_G
P -804.5881, 1310.5448, -739.2296,  240, 240, 0,  2,  Teleport_G
P -538.7805, 1408.8296, 15.3758,  240, 240, 0,  2,  Teleport_H
P -766.8101, 1412.3450, -739.4188,  240, 240, 0,  2,  Teleport_H
P -84.5041, 605.4954, -103.0394,  240, 240, 240,  2,  The_Searing_Prominence
P -314.7395, 79.2148, -90.7714,  240, 240, 240,  2,  Peninfernal_Lava_Pool
P -903.2513, 1095.9297, -44.0213,  240, 240, 240,  2,  The_Serrated_Cliff
P -741.0222, 1781.6187, 23.8213,  240, 240, 240,  2,  Path_to_upper_area
P -1225.2002, 1132.1741, 28.9294,  240, 127, 0,  2,  Monarch_Nene_(Raid)
P -1480.1504, 1416.8440, 41.3429,  240, 127, 0,  2,  Taskmaster_Yeorick_(Raid)
P -1417.0785, 1274.3888, 18.5117,  240, 127, 0,  2,  Architect_Mutze_(Raid)
P -365.8084, 1275.0702, -5.9771,  0, 127, 127,  2,  Shiani_(Quest)
P -849.3658, 2189.1099, 388.0536,  0, 127, 127,  2,  Explorer_Durgan_(Quest)
P -927.0840, 394.8544, -19.2072,  0, 127, 127,  2,  Inventor_Biddlebokk_(Quest)
P -154.2223, 324.2221, -70.7654,  0, 127, 127,  2,  Gweddon_Tinkertasker_(Mission)
P 436.3908, 587.5220, -17.6144,  0, 127, 127,  2,  Xanathan_Foxheart_(Quest)
P -1100.4419, 1351.2173, -742.6149,  0, 127, 127,  2,  Splari_(Quest)
P -692.2880, 1121.0275, -112.0464,  0, 127, 127,  2,  Sienna_Flamestalker_(Quest)
P 723.8683, 419.6871, -10.6501,  0, 0, 0,  2,  Figles_Steelread
P -685.2516, 1361.4562, -112.8716,  0, 0, 0,  2,  Shrum
P -1266.9054, 361.3678, 40.6318,  0, 0, 0,  2,  Balbor
P -193.2870, 57.8261, -90.9957,  0, 0, 0,  2,  Splak
P -728.5013, 1428.7345, -39.6036,  0, 0, 0,  2,  Zuzz
P -923.2956, 1046.6332, 36.2338,  0, 0, 0,  2,  Mephit_Shaman
P -345.3798, 1277.8506, 0.7805,  127, 64, 0,  2,  Ancill_the_Collector_(Hunter,Roam)
P -711.8694, 839.6545, 16.0771,  127, 64, 0,  2,  Ancill_the_Collector_(Hunter)
P -645.5934, 878.1738, 23.2781,  127, 64, 0,  2,  Ancill_the_Collector_(Hunter)
P -792.5195, 1578.6592, 18.5175,  127, 64, 0,  2,  Anvil_Golem_(Hunter)
P -1153.9746, 1564.5087, 10.8432,  127, 64, 0,  2,  Anvil_Golem_(Hunter)
P -1422.9192, 1234.5896, 22.8852,  127, 64, 0,  2,  Anvil_Golem_(Hunter)
P -732.7270, 512.2493, 52.3263,  127, 64, 0,  2,  Ash_Golem_(Hunter)
P -674.9100, 607.6772, -105.7027,  127, 64, 0,  2,  Ash_Golem_(Hunter,Roam)
P -750.2111, 271.9911, 12.4893,  127, 64, 0,  2,  Cliknar_Hunter_(Hunter)
P -571.4811, 92.7319, -78.6686,  127, 64, 0,  2,  Cliknar_Ravager_(Hunter)
P -812.2422, 1035.5381, -103.7923,  127, 64, 0,  2,  Confused_Greken_Pup_(Hunter)
P -68.8539, 604.9731, -99.0874,  127, 64, 0,  2,  Dwarven_Stalwart_(Hunter)
